Protein.IDs,LFQ_A1,LFQ_A2,LFQ_A3,LFQ_A4,LFQ_A5,LFQ_A6,LFQ_A7,LFQ_B1,LFQ_B2,LFQ_B3,LFQ_B4,LFQ_B5,LFQ_B6,LFQ_B7,LFQ_C1,LFQ_C2,LFQ_C3,LFQ_C4,LFQ_C5,LFQ_C6,LFQ_C7,LFQ_D1,LFQ_D2,LFQ_D3,LFQ_D4,LFQ_D5,LFQ_D6,LFQ_D7,LFQ_E1,LFQ_E2,LFQ_E3,LFQ_E4,LFQ_E5,LFQ_E6,LFQ_E7,LFQ_F1,LFQ_F2,LFQ_F3,LFQ_F4,LFQ_F5,LFQ_F6,LFQ_F7,LFQ_G1,LFQ_G2,LFQ_G3,LFQ_G4,LFQ_G5,LFQ_G6,LFQ_G7,LFQ_H1,LFQ_H2,LFQ_H3,LFQ_H4,LFQ_H5,LFQ_H6,LFQ_H7,LFQ_I1,LFQ_I2,LFQ_I3,LFQ_I4,LFQ_I5,LFQ_I6,LFQ_I7,LFQ_J1,LFQ_J2,LFQ_J3,LFQ_J4,LFQ_J5,LFQ_J6,LFQ_J7
CON__ENSEMBL:ENSBTAP00000025008;sp|Q9H4B7|TBB1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9212800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P00761,2195900000,1338200000,1280700000,1185900000,1806400000,1529200000,1153500000,1470500000,1917300000,1971100000,1411800000,1417800000,1465300000,2703300000,3247800000,1384700000,1605300000,1149900000,1321400000,1830400000,1162000000,2359400000,2398400000,3093600000,1583200000,1748400000,2700400000,2350700000,3396000000,3111700000,2528400000,2829300000,2905900000,3194900000,2610700000,2466500000,1996300000,2350700000,1366800000,2279000000,2823000000,1791200000,1582600000,1530800000,1695000000,1485900000,1401200000,1629700000,2261900000,1832200000,1720200000,2229800000,1054300000,1406200000,1200200000,2489900000,3009900000,1656300000,1584000000,1428800000,2129500000,2004200000,1267800000,3628900000,2221000000,2327300000,1366800000,1585900000,1629900000,1894700000
CON__P01966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22565000
CON__P02070;sp|P02100|HBE_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28840000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02662,0,0,0,0,0,0,0,0,0,3585800,0,8363100,57767000,58211000,0,0,0,4174100,3455300,4331700,0,48973000,0,0,0,0,4361400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5820700,0,0,0,0,0,0,6707800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02666,0,0,0,0,0,0,0,0,0,0,0,0,12733000,15218000,0,0,0,0,0,0,0,42379000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19545000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__P02754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|P02768|ALBU_HUMAN;CON__P02768-1,830690000,1319200000,1345900000,1674500000,2382400000,2838600000,13288000000,862180000,1346200000,1475000000,1692300000,2517700000,2567100000,12877000000,580670000,1074200000,1242900000,1735300000,2518500000,1989700000,11622000000,746010000,1349900000,1470400000,1769400000,2772100000,3363300000,16080000000,557170000,1057500000,928270000,1198700000,1665800000,1861600000,9825200000,518510000,908850000,884050000,1019900000,1966300000,1578900000,11720000000,606750000,924180000,1004200000,1469500000,2038700000,2049400000,10027000000,1657500000,2548100000,3280900000,4101900000,5790900000,5915300000,27979000000,960260000,1476400000,2027700000,3080600000,5179600000,5809600000,19831000000,505540000,874450000,913530000,1069000000,1494100000,1249600000,6967300000
CON__P02769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp|Q8NHM4|TRY6_HUMAN;sp|P07478|TRY2_HUMAN;sp|P07477|TRY1_HUMAN;CON__P07477,21546000,61091000,55725000,55321000,0,0,0,64827000,0,95896000,63916000,20271000,20070000,0,0,57332000,63195000,0,0,0,0,0,61879000,0,0,51700000,0,0,0,25829000,0,84344000,0,43938000,42715000,62833000,22105000,61744000,0,62001000,48178000,19547000,57827000,40698000,0,38453000,30649000,42419000,23177000,60750000,66538000,82172000,50512000,40628000,0,63094000,88340000,64548000,71812000,86006000,59478000,35735000,25503000,200720000,97284000,106420000,20901000,41449000,44211000,38001000
CON__P12763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278470,0,0,0,0
CON__P13645;sp|P13645|K1C10_HUMAN;CON__P02535-1,3758100,0,0,3514500,4677800,2576300,26590000,2058900,1834200,1707300,1358000,5621900,5959600,10663000,3880600,0,65773000,2254600,2239400,0,2804200,0,0,0,0,1833800,3673400,64876000,0,0,0,0,0,0,2444400,2545600,0,2386700,0,2390100,1755500,0,19607000,0,0,0,0,23404000,13463000,0,0,0,2066200,4685600,0,1425900,1383400,0,0,0,1350600,0,3908900,2878300,0,0,0,0,964130,1632600
sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908;sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27842000,0,0,0,0,0,0,0,0,0,0,0,2090200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__Q2UVX4,0,0,0,0,0,0,14971000,0,0,0,0,0,0,12790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27159000,0,0,0,0,0,3587400,33207000,0,0,0,0,0,0,71385000,0,0,0,0,0,0,14418000,0,0,0,0,0,0,87483000,0,0,0,0,0,0,36893000
CON__Q3SX14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13287000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70068000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON__Q3SX28;sp|P07951|TPM2_HUMAN,0,0,0,0,0,0,9816200,0,0,0,8263000,0,0,13457000,0,0,0,0,0,0,6138600,0,0,0,0,0,0,13097000,0,0,0,0,0,0,12796000,0,4088800,0,0,0,0,29110000,0,0,0,0,0,0,0,5903900,0,0,0,0,9805300,17809000,7327300,0,0,0,0,0,7714600,0,0,0,0,0,0,10243000
CON__Q3ZBD7,21865000,33273000,34557000,35447000,41116000,71319000,172730000,54151000,46961000,36326000,45250000,19210000,28803000,44076000,26390000,28239000,27097000,41996000,48541000,53771000,175030000,144750000,45890000,47546000,43233000,47697000,0,39515000,34269000,25945000,64026000,32109000,37492000,37093000,133960000,55824000,45422000,35891000,59687000,47445000,49066000,34876000,30341000,34295000,33139000,34928000,82476000,28081000,126680000,46296000,52391000,44551000,42767000,33170000,31431000,64417000,40157000,44423000,31713000,41069000,39325000,37495000,65476000,40300000,24793000,24634000,28106000,102870000,39763000,139410000
sp|Q8N1A0|KT222_HUMAN;CON__Q8N1A0,7699200,0,0,0,0,0,0,6973000,0,0,0,0,0,0,6654900,0,0,0,0,0,0,7469200,0,0,0,0,0,0,10424000,0,0,0,0,0,0,7087700,0,0,0,0,0,0,4094800,0,0,0,0,0,0,4597500,0,0,0,0,0,0,5436200,0,0,0,0,0,0,14258000,0,0,0,0,0,0
REV__sp|O14508|SOCS2_HUMAN,27518000,30857000,0,0,32505000,27342000,0,21378000,0,0,0,25315000,50091000,0,24902000,20571000,23069000,34731000,0,0,0,0,0,15683000,0,0,25295000,0,0,24466000,0,31985000,40536000,42118000,0,0,0,22842000,0,30839000,36425000,0,26741000,36480000,0,19474000,0,23459000,10430000,21365000,20543000,20870000,0,15281000,22413000,0,0,21011000,0,20764000,50302000,39789000,0,0,0,0,29241000,0,0,0
REV__sp|O15144|ARPC2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14735000
REV__sp|O60486|PLXC1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5199300
REV__sp|O75764|TCEA3_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6814900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
