protein,Df1,Df2,F value1,Mean Sq1,Mean Sq2,Pr(>F)1,Sum Sq1,Sum Sq2,padj,Significant,2-1,3-1,4-1,5-1,6-1,7-1,3-2,4-2,5-2,6-2,7-2,4-3,5-3,6-3,7-3,5-4,6-4,7-4,6-5,7-5,7-6
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,6,63,5.096094980684736,96682969456952.42,18971971641698.41,2.550611225736618e-4,580097816741714.5,1195234213426999.8,3.4715077643307187e-4,Yes,NA,NA,NA,NA,NA,8.027196333026954e-5,NA,NA,NA,NA,0.0019193208825645236,NA,NA,NA,NA,NA,NA,0.021221469264006476,NA,0.033060266202980304,NA
sp|A0AVT1|UBA6_HUMAN,6,63,8.745844782792997,492438462847619.56,56305419896825.42,6.218727969302333e-7,2954630777085717.5,3547241453500001.5,1.0436143812518881e-6,Yes,NA,NA,NA,NA,NA,4.4707776762908935e-6,NA,NA,NA,NA,0.006140015063951787,NA,NA,NA,0.00398738252676567,NA,0.038756672163807515,9.973599924828491e-7,NA,7.093444819716854e-5,0.04873841928399858
sp|A0FGR8|ESYT2_HUMAN,6,63,17.382126398301246,579386715214285.9,33332326663492.062,9.57814733852087e-12,3476320291285715,20999365798e5,2.3250363999375402e-11,Yes,0.031306703120061674,0.01865983066974619,NA,0.022280437727273505,5.085533315574153e-7,3.853301011602639e-10,NA,NA,NA,0.038346414743532065,1.1460800227347523e-4,NA,NA,NA,2.239325030678474e-4,NA,2.2623318433057094e-6,1.7253921624771351e-9,NA,1.7891199195640972e-4,NA
sp|A0MZ66|SHOT1_HUMAN,6,63,8.023789110564088,459491979258904.5,57266208387000.01,1.897012177481461e-6,2756951875553427,3607771128381000.5,3.0707320334588853e-6,Yes,NA,NA,NA,NA,NA,1.0286192851238773e-4,NA,NA,NA,NA,1.7417128838626006e-5,NA,NA,NA,5.367937038858184e-5,NA,NA,6.439797558577265e-5,NA,0.00252750320191919,NA
sp|A1L0T0|ILVBL_HUMAN,6,63,24.65863833896391,4492859691966663.5,182202262355555.56,8.06492482767284e-15,26957158151799980,114787425284e5,2.4961309299804416e-14,Yes,NA,NA,NA,0.001898979423690328,NA,2.9076584306952924e-7,NA,0.002581664692538177,2.7690594922247236e-5,0.0229056770143512,2.9077250622955297e-5,0.018928181880265238,2.976598564128352e-4,NA,2.4246766308078094e-6,NA,NA,1.8454682226831665e-11,NA,1.5389356455841607e-11,6.847067357540482e-11
sp|A2RRP1|NBAS_HUMAN,6,63,5.362371844119258,142675107613618.84,26606716535349.203,1.5917505991496696e-4,856050645681713.1,1676223141726999.8,2.1987132599265066e-4,Yes,NA,NA,NA,NA,NA,0.004152396759724009,NA,NA,NA,NA,NA,NA,NA,NA,0.005714798320838432,NA,NA,7.93097924450481e-4,NA,1.6003427160460326e-4,NA
sp|A2RTX5|SYTC2_HUMAN,6,63,1.9960837596335563,27228341955285.684,13640881462952.385,0.07942363815464992,163370051731714.1,859375532166000.25,0.08811734555686242,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A2RU67|F234B_HUMAN,6,63,1.0908892054641581,734923887809.5234,673692510777.7775,0.37769469384869303,4409543326857.141,42442628178999.98,0.39297194353189985,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A5PKW4|PSD1_HUMAN,6,63,3.1885124187876177,1589559081476.1907,498526859142.8588,0.008508969700501278,9537354488857.145,31407192126000.105,0.010186138542524212,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A5YM72|CRNS1_HUMAN,6,63,0.5750281543594243,648504214114666.6,1127778195203492,0.7487428963820981,3891025284688e3,7105002629782e4,0.7561537465607397,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A6NDG6|PGP_HUMAN,6,63,74.4922959226687,4025493166558140,54039053524904.77,1.0402437128184163e-26,24152958999348840,3404460372069000.5,1.4151937799720767e-25,Yes,NA,NA,NA,0.02063408455411775,NA,1.5322076940549323e-11,NA,NA,NA,NA,1.5322076940549323e-11,NA,NA,NA,1.5322076940549323e-11,NA,NA,1.5322298985154248e-11,NA,1.5322298985154248e-11,1.5322076940549323e-11
sp|A6NE02|BTBDH_HUMAN,6,63,2.5217230133743156,562052078599809.3,222884145331936.3,0.029874911694409898,3372312471598856,14041701155911988,0.034243493071932245,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|A6NHX0|CAST2_HUMAN;sp|Q8WTX7|CAST1_HUMAN,6,63,27.61477120535851,342421047459476.06,12399923392920.63,6.748006314276217e-16,2054526284756856.2,781195173753999.75,2.3208592503370224e-15,Yes,NA,NA,NA,NA,NA,1.5537682251931528e-11,NA,NA,NA,NA,1.6680545833480664e-11,NA,NA,NA,1.584099518225912e-11,NA,NA,1.5701773214971126e-11,NA,1.5950241127882236e-11,1.6803669566911594e-11
sp|C9J069|AJM1_HUMAN,6,63,10.400844469884019,91322817210952.55,8780327162412.698,5.4821434745177445e-8,547936903265715.25,553160611232000,1.0012435068913375e-7,Yes,NA,NA,NA,NA,NA,NA,NA,5.301369142529655e-5,3.497466744883937e-6,2.2921463754821403e-6,2.2921463754821403e-6,NA,0.04440104402520695,0.03326010299370652,0.0332601029937063,NA,NA,NA,NA,NA,NA
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN,6,63,20.56537594550123,15363549075945942,747058994528460.75,3.564550418247552e-13,92181294455675650,47064716655293024,9.604831716774435e-13,Yes,NA,NA,NA,NA,7.252365374910141e-11,NA,NA,NA,NA,2.7145841130504778e-11,NA,NA,NA,4.835909450662257e-11,NA,NA,1.2632372925480695e-10,NA,1.0472823053220282e-8,NA,2.0224338870278302e-9
