Protein.IDs,Fraction,n,n_C,n_AD,tStat,pVal,padj,ttest_significant,Entropy Control,Entropy AD,Entropy difference
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,5,10,5,5,-3.042145736353757,0.01680660285160117,0.11764621996120818,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,1,10,5,5,2.416867765918538,0.047894699251523565,0.14242656158379785,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,4,10,5,5,-2.245805377976604,0.061039954964484784,0.14242656158379785,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,3,10,5,5,1.2713155921809596,0.26141004820499925,0.3740966635234942,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,7,10,5,5,1.2879825607603683,0.26721190251678156,0.3740966635234942,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,6,10,5,5,0.32312673292450317,0.7549500843659445,0.8807750984269352,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,2,10,5,5,-0.07816752460270282,0.9402387793356514,0.9402387793356514,No,0.8486598840757168,0.8622947949133012,0.01363491083758439
sp|A0AVT1|UBA6_HUMAN,1,10,5,5,2.4057911441694517,0.059009408456545204,0.4130658591958164,No,0.9366748612528553,0.9464924771206102,0.00981761586775498
sp|A0AVT1|UBA6_HUMAN,2,10,5,5,-0.8203101003369059,0.43662582447281684,0.8950710291942034,No,0.9366748612528553,0.9464924771206102,0.00981761586775498
sp|A0AVT1|UBA6_HUMAN,3,10,5,5,-1.0419176886097832,0.34040988222264534,0.8950710291942034,No,0.9366748612528553,0.9464924771206102,0.00981761586775498
