id,rowname,diff,lwr,upr,p adj,Significant
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,7-1,-9834100.000000002,-15766696.623219993,-3901503.3767800108,8.027196333026954e-5,Yes
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,7-2,-8069799.999999998,-14002396.62321999,-2137203.376780007,0.0019193208825645236,Yes
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,7-4,-6550639.999999998,-12483236.62321999,-618043.376780007,0.021221469264006476,Yes
sp|A0A024RBG1|NUD4B_HUMAN;sp|Q9NZJ9|NUDT4_HUMAN;sp|Q96G61|NUD11_HUMAN;sp|Q8NFP7|NUD10_HUMAN,7-5,-6238189.999999998,-12170786.62321999,-305593.37678000703,0.033060266202980304,Yes
sp|Q9NVJ2|ARL8B_HUMAN,5-1,38973900.00000006,6154424.771996286,71793375.22800383,0.010124790694045371,Yes
sp|Q9NVJ2|ARL8B_HUMAN,7-1,-55565299.999999955,-88384775.22800373,-22745824.77199618,5.3918000195829485e-5,Yes
sp|Q9NVJ2|ARL8B_HUMAN,7-2,-65066499.999999985,-97885975.22800376,-32247024.77199621,1.8695390898715303e-6,Yes
sp|Q9NVJ2|ARL8B_HUMAN,5-3,38117000.000000015,5297524.771996241,70936475.22800379,0.012827864709566206,Yes
sp|Q9NVJ2|ARL8B_HUMAN,7-3,-56422200,-89241675.22800377,-23602724.771996226,4.01222683202862e-5,Yes
sp|Q9NVJ2|ARL8B_HUMAN,7-4,-65783790,-98603265.22800377,-32964314.771996226,1.4414607808488356e-6,Yes
sp|Q9NVJ2|ARL8B_HUMAN,7-5,-94539200.00000001,-127358675.22800379,-61719724.771996245,4.88636908713147e-11,Yes
sp|Q9NVJ2|ARL8B_HUMAN,7-6,-76791799.99999999,-109611275.22800376,-43972324.771996215,2.4993343616941388e-8,Yes
sp|P00751|CFAB_HUMAN,7-1,18273858.00000001,7592912.252519209,28954803.747480813,4.40751720373056e-5,Yes
sp|P00751|CFAB_HUMAN,7-2,17954088,7273142.252519198,28635033.747480802,6.180303889291583e-5,Yes
sp|P00751|CFAB_HUMAN,7-3,18094597.000000004,7413651.2525192015,28775542.747480806,5.328773214818838e-5,Yes
sp|P00751|CFAB_HUMAN,7-4,16948980,6268034.252519198,27629925.747480802,1.758706912610153e-4,Yes
sp|P00751|CFAB_HUMAN,7-5,17013346,6332400.252519198,27694291.747480802,1.6461265981293494e-4,Yes
sp|P00751|CFAB_HUMAN,7-6,17383433.000000004,6702487.2525192015,28064378.747480806,1.1227936709368169e-4,Yes
sp|P61158|ARP3_HUMAN,7-1,55646000.00000006,17018266.958767302,94273733.04123282,8.422723167433865e-4,Yes
sp|P61158|ARP3_HUMAN,7-2,54476000,15848266.958767243,93103733.04123276,0.0011528758507628467,Yes
sp|P61158|ARP3_HUMAN,6-3,38982999.99999997,355266.9587672129,77610733.04123273,0.0465100025439078,Yes
sp|P61158|ARP3_HUMAN,7-3,64475000,25847266.958767243,103102733.04123276,7.057037906121888e-5,Yes
sp|P61158|ARP3_HUMAN,7-4,57031000,18403266.958767243,95658733.04123276,5.780161037032272e-4,Yes
sp|P61158|ARP3_HUMAN,6-5,40050999.99999997,1423266.958767213,78678733.04123273,0.03726958253825041,Yes
sp|P61158|ARP3_HUMAN,7-5,65543000,26915266.958767243,104170733.04123276,5.16962727796777e-5,Yes
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,6-1,495240099.9999997,371910375.1544609,618569824.8455385,1.533384530461035e-11,Yes
