Var1,Location,Confidence,Condition
A0FGR8,Endoplasmic Reticulum,High,Control
A2RRP1,Endoplasmic Reticulum,High,Control
A6NDG6,Cytoplasm,High,Control
A6NHX0,Cytoplasm,High,Control
C9J069,Mitochondria,High,Control
O00142,Mitochondria,High,Control
O00154,Cytoskeleton,High,Control
O00161,Endoplasmic Reticulum,High,Control
O00299,Cytoplasm,High,Control
O00303,Presynapse,High,Control
O00410,Cytoskeleton,High,Control
O00429,Cytoskeleton,High,Control
O00442,Endoplasmic Reticulum,High,Control
O00445,Endoplasmic Reticulum,High,Control
O00468,Nucleus,High,Control
O00483,Cytoskeleton,High,Control
O00499,Cytoskeleton,High,Control
O00505,Cytoskeleton,High,Control
O00519,Endoplasmic Reticulum,High,Control
O00533,Cytoskeleton,High,Control
O00560,Presynapse,High,Control
O00584,Cytoplasm,High,Control
O00743,Endoplasmic Reticulum,High,Control
O00764,Cytoskeleton,High,Control
O14521,Mitochondria,High,Control
O14523,Endoplasmic Reticulum,High,Control
O14531,Cytoskeleton,High,Control
O14548,Postsynapse,High,Control
O14576,Cytoskeleton,High,Control
O14578,Postsynapse,High,Control
O14594,Cytoskeleton,High,Control
O14617,Cytoskeleton,High,Control
O14639,Cytoskeleton,High,Control
O14672,Presynapse,High,Control
O14734,Endoplasmic Reticulum,High,Control
O14735,Endoplasmic Reticulum,High,Control
O14737,Cytoplasm,High,Control
O14745,Cytoskeleton,High,Control
O14773,Cytoskeleton,High,Control
O14818,Cytoskeleton,High,Control
O14827,Endoplasmic Reticulum,High,Control
O14874,Mitochondria,High,Control
O14880,Cytoskeleton,High,Control
O14949,Mitochondria,High,Control
O15020,Cytoskeleton,High,Control
O15027,Endoplasmic Reticulum,High,Control
O15061,Nucleus,High,Control
O15067,Cytoplasm,High,Control
O15075,Cytoskeleton,High,Control
O15083,Postsynapse,High,Control
O15126,Cytoskeleton,High,Control
O15228,Endoplasmic Reticulum,High,Control
O15230,Nucleus,High,Control
O15260,Endoplasmic Reticulum,High,Control
O15394,Plasma membrane,High,Control
O15530,Mitochondria,High,Control
O15540,Cytoplasm,High,Control
O43143,Nucleus,High,Control
O43175,Cytoskeleton,High,Control
O43181,Postsynapse,High,Control
O43236,Cytoskeleton,High,Control
O43237,Cytoskeleton,High,Control
O43301,Cytoskeleton,High,Control
O43324,Endoplasmic Reticulum,High,Control
O43390,Cytoskeleton,High,Control
O43396,Cytoskeleton,High,Control
O43414,Cytoplasm,High,Control
O43426,Cytoskeleton,High,Control
O43432,Endoplasmic Reticulum,High,Control
O43488,Cytoskeleton,High,Control
O43491,Cytoskeleton,High,Control
O43598,Cytoplasm,High,Control
O43615,Postsynapse,High,Control
O43674,Mitochondria,High,Control
O43676,Mitochondria,High,Control
O43707,Cytoskeleton,High,Control
O43761,Presynapse,High,Control
O43768,Cytoplasm,High,Control
O43772,Mitochondria,High,Control
O43776,Cytoskeleton,High,Control
O43813,Cytoskeleton,High,Control
O43837,Cytoskeleton,High,Control
O43852,Endoplasmic Reticulum,High,Control
O43865,Cytoskeleton,High,Control
O43920,Mitochondria,High,Control
O60256,Cytoskeleton,High,Control
O60282,Cytoskeleton,High,Control
O60313,Cytoskeleton,High,Control
O60502,Cytoskeleton,High,Control
O60506,Cytoskeleton,High,Control
O60641,Cytoskeleton,High,Control
O60645,Endoplasmic Reticulum,High,Control
O60664,Cytoskeleton,High,Control
O60741,Endoplasmic Reticulum,High,Control
O60763,Endoplasmic Reticulum,High,Control
O60825,Endoplasmic Reticulum,High,Control
O60831,Endoplasmic Reticulum,High,Control
O60841,Endoplasmic Reticulum,High,Control
O60888,Cytoskeleton,High,Control
O60936,Cytoplasm,High,Control
O75061,Cytoskeleton,High,Control
O75078,Endoplasmic Reticulum,High,Control
O75083,Cytoskeleton,High,Control
O75116,Cytoskeleton,High,Control
O75223,Cytoplasm,High,Control
O75306,Cytoskeleton,High,Control
O75363,Plasma membrane,High,Control
O75367,Nucleus,High,Control
O75368,Cytoskeleton,High,Control
O75381,Endoplasmic Reticulum,High,Control
O75390,Cytoskeleton,High,Control
O75396,Plasma membrane,High,Control
O75439,Mitochondria,High,Control
O75489,Cytoskeleton,High,Control
O75534,Endoplasmic Reticulum,High,Control
O75608,Cytoplasm,High,Control
O75643,Nucleus,High,Control
O75663,Cytoplasm,High,Control
O75746,Cytoskeleton,High,Control
O75781,Cytoskeleton,High,Control
O75828,Cytoplasm,High,Control
O75832,Endoplasmic Reticulum,High,Control
O75844,Endoplasmic Reticulum,High,Control
O75879,Mitochondria,High,Control
O75880,Mitochondria,High,Control
O75884,Cytoplasm,High,Control
O75891,Cytoskeleton,High,Control
O75914,Cytoplasm,High,Control
O75915,Plasma membrane,High,Control
O75947,Cytoskeleton,High,Control
O75955,Plasma membrane,High,Control
O76024,Endoplasmic Reticulum,High,Control
O76070,Cytoskeleton,High,Control
O94760,Cytoskeleton,High,Control
O94811,Cytoskeleton,High,Control
O94819,Cytoskeleton,High,Control
O94826,Cytoskeleton,High,Control
O94874,Endoplasmic Reticulum,High,Control
O94910,Plasma membrane,High,Control
O94925,Cytoskeleton,High,Control
O94973,Cytoskeleton,High,Control
O94979,Endoplasmic Reticulum,High,Control
O94985,Cytoplasm,High,Control
O95057,Endoplasmic Reticulum,High,Control
O95169,Presynapse,High,Control
O95197,Cytoskeleton,High,Control
O95202,Postsynapse,High,Control
O95248,Cytoskeleton,High,Control
O95278,Cytoplasm,High,Control
O95292,Cytoskeleton,High,Control
O95299,Cytoskeleton,High,Control
O95336,Cytoskeleton,High,Control
O95352,Cytoplasm,High,Control
O95372,Endoplasmic Reticulum,High,Control
O95373,Cytoskeleton,High,Control
O95394,Cytoplasm,High,Control
O95433,Cytoskeleton,High,Control
O95487,Endoplasmic Reticulum,High,Control
O95571,Mitochondria,High,Control
O95670,Cytoskeleton,High,Control
O95747,Endoplasmic Reticulum,High,Control
O95757,Cytoskeleton,High,Control
O95777,Cytoplasm,High,Control
O95782,Cytoskeleton,High,Control
O95810,Nucleus,High,Control
O95817,Cytoplasm,High,Control
O95822,Cytoplasm,High,Control
O95831,Mitochondria,High,Control
O95861,Cytoplasm,High,Control
O95865,Cytoskeleton,High,Control
O96000,Cytoskeleton,High,Control
O96005,Endoplasmic Reticulum,High,Control
P00338,Cytoskeleton,High,Control
P00352,Cytoskeleton,High,Control
P00367,Cytoskeleton,High,Control
P00387,Cytoskeleton,High,Control
P00390,Cytoskeleton,High,Control
P00395,Cytoskeleton,High,Control
P00403,Cytoskeleton,High,Control
P00441,Cytoskeleton,High,Control
P00450,Cytoplasm,High,Control
P00491,Cytoplasm,High,Control
P00492,Cytoskeleton,High,Control
P00505,Cytoskeleton,High,Control
P00533,Presynapse,High,Control
P00558,Cytoskeleton,High,Control
P00568,Cytoskeleton,High,Control
P00738,Cytoskeleton,High,Control
P00751,Cytoplasm,High,Control
P00813,Cytoplasm,High,Control
P00915,Cytoskeleton,High,Control
P00918,Cytoskeleton,High,Control
P01008,Cytoplasm,High,Control
P01009,Cytoskeleton,High,Control
P01011,Cytoplasm,High,Control
P01019,Cytoplasm,High,Control
P01023,Cytoskeleton,High,Control
P01024,Cytoskeleton,High,Control
P01034,Cytoskeleton,High,Control
P01112,Cytoskeleton,High,Control
P01834,Cytoskeleton,High,Control
P01857,Cytoskeleton,High,Control
P02042,Cytoskeleton,High,Control
P02462,Nucleus,High,Control
P02511,Cytoskeleton,High,Control
P02545,Nucleus,High,Control
P02549,Mitochondria,High,Control
P02647,Cytoskeleton,High,Control
P02649,Cytoskeleton,High,Control
P02652,Cytoplasm,High,Control
P02671,Cytoskeleton,High,Control
P02675,Cytoskeleton,High,Control
P02679,Cytoskeleton,High,Control
P02686,Cytoskeleton,High,Control
P02689,Cytoskeleton,High,Control
P02750,Cytoplasm,High,Control
P02763,Cytoplasm,High,Control
P02765,Cytoplasm,High,Control
P02766,Cytoplasm,High,Control
P02768,Cytoskeleton,High,Control
P02774,Cytoplasm,High,Control
P02786,Endoplasmic Reticulum,High,Control
P02787,Cytoskeleton,High,Control
P02792,Cytoskeleton,High,Control
P02794,Cytoskeleton,High,Control
P03928,Mitochondria,High,Control
P04062,Endoplasmic Reticulum,High,Control
P04075,Cytoskeleton,High,Control
P04080,Cytoskeleton,High,Control
P04083,Cytoskeleton,High,Control
P04156,Plasma membrane,High,Control
P04179,Cytoskeleton,High,Control
P04181,Mitochondria,High,Control
P04216,Cytoskeleton,High,Control
P04271,Cytoskeleton,High,Control
P04406,Cytoskeleton,High,Control
P04632,Cytoskeleton,High,Control
P04792,Cytoskeleton,High,Control
P04839,Endoplasmic Reticulum,High,Control
P04899,Cytoskeleton,High,Control
P05067,Cytoskeleton,High,Control
P05090,Cytoskeleton,High,Control
P05091,Cytoskeleton,High,Control
P05109,Nucleus,High,Control
P05141,Cytoskeleton,High,Control
P05230,Cytoplasm,High,Control
P05386,Cytoskeleton,High,Control
P05387,Cytoskeleton,High,Control
P05388,Cytoskeleton,High,Control
P05413,Cytoskeleton,High,Control
P05771,Cytoskeleton,High,Control
P05937,Cytoplasm,High,Control
P06396,Cytoskeleton,High,Control
P06576,Cytoskeleton,High,Control
P06702,Cytoskeleton,High,Control
P06703,Cytoskeleton,High,Control
P06733,Cytoskeleton,High,Control
P06744,Cytoskeleton,High,Control
P06748,Cytoskeleton,High,Control
P07099,Cytoskeleton,High,Control
P07108,Cytoskeleton,High,Control
P07195,Cytoskeleton,High,Control
P07196,Cytoskeleton,High,Control
P07197,Cytoskeleton,High,Control
P07203,Cytoskeleton,High,Control
P07237,Cytoskeleton,High,Control
P07311,Cytoplasm,High,Control
P07339,Cytoskeleton,High,Control
P07355,Cytoskeleton,High,Control
P07384,Cytoskeleton,High,Control
P07437,Cytoskeleton,High,Control
P07602,Cytoskeleton,High,Control
P07686,Cytoplasm,High,Control
P07741,Cytoskeleton,High,Control
P07814,Cytoskeleton,High,Control
P07900,Cytoskeleton,High,Control
P07910,Cytoskeleton,High,Control
P07919,Cytoskeleton,High,Control
P07954,Cytoskeleton,High,Control
P08133,Cytoskeleton,High,Control
P08134,Endoplasmic Reticulum,High,Control
P08195,Cytoskeleton,High,Control
